Neutrino energy,discrete levels,only GTR,total
4.12,25.256202687582814,0.010877200598786602,25.267079888181602
4.13,25.444884466220252,0.01112193875154905,25.456006404971802
4.14,25.634333250559237,0.011382363842142376,25.64571561440138
4.15,25.824370455702848,0.011642788932735727,25.836013244635584
4.16,26.01536356934674,0.011903214023329053,26.027266783370067
4.17,26.20727713084508,0.012163639113922379,26.219440769959
4.18,26.399982330736055,0.012424064204515705,26.41240639494057
4.19,26.594436981492127,0.012684489295109054,26.607121470787234
4.2,26.79495820768084,0.01294491438570238,26.80790312206654
4.21,26.99271236565108,0.013205339476295706,27.005917705127377
4.22,27.18834932741799,0.013465764566889032,27.201815091984876
4.23,27.385072566504338,0.013764838390211385,27.39883740489455
4.24,27.582475244544927,0.014082948156519637,27.596558192701448
4.25,27.780946076588215,0.014401057922827889,27.795347134511044
4.26,27.98007797443802,0.01471916768913614,27.994797142127158
4.2700000000000005,28.179973369721683,0.015037277455444422,28.195010647177128
4.28,28.380644821414236,0.015355387221752673,28.39600020863599
4.29,28.581993988639645,0.015673496988060927,28.597667485627706
4.3,28.784132609994586,0.015991606754369177,28.800124216748955
4.3100000000000005,28.986939769012558,0.016309716520677458,29.003249485533235
4.32,29.190501990654354,0.01662782628698571,29.20712981694134
4.33,29.39499178632995,0.016992413284509664,29.41198419961446
4.34,29.60031868129584,0.017379892052632396,29.61769857334847
4.3500000000000005,29.80638484183398,0.017767370820755163,29.824152212654738
4.36,30.01319840173474,0.0181548495888779,30.03135325132362
4.37,30.220793704023066,0.01854232835700063,30.239336032380066
4.38,30.42929837578084,0.018929807125123363,30.44822818290596
4.39,30.638538764961353,0.0193172858932461,30.6578560508546
4.4,30.848516163127606,0.019704764661368866,30.868220927788975
4.41,31.060690421216584,0.0200922434294916,31.080782664646076
4.42,31.275379234711913,0.020479722197614333,31.295858956909527
4.43,31.496289831784054,0.02092311035143358,31.517212942135487
4.44,31.711063201814557,0.021394035963879506,31.732457237778437
4.45,31.931152728088243,0.021864961576325396,31.95301768966457
4.46,32.14671838745223,0.022335887188771286,32.169054274641006
4.47,32.365742698846624,0.02280681280121717,32.38854951164784
4.48,32.59375734863809,0.023277738413663103,32.617035087051754
4.49,32.82573018430219,0.023748664026108993,32.849478848328296
4.5,33.04543258437119,0.02421958963855488,33.06965217400975
4.51,33.26602602617371,0.02469051525100077,33.290716541424715
4.5200000000000005,33.4928773732239,0.025161440863446696,33.51803881408735
4.53,33.73999975472847,0.02569927489593364,33.76569902962441
4.54,33.98687767215185,0.02627006382187363,34.013147735973725
4.55,34.21176765175998,0.026840852747813622,34.23860850450779
4.5600000000000005,34.44027898238664,0.027411641673753664,34.46769062406039
4.57,34.66911781231168,0.02798243059969366,34.697100242911375
4.58,34.906846540300364,0.02855321952563365,34.935399759826
4.59,35.13725157996526,0.02912400845157364,35.166375588416834
4.6000000000000005,35.36759225620646,0.029694797377513682,35.39728705358397
4.61,35.599574728074366,0.030265586303453676,35.629840314377816
4.62,35.833202234533125,0.030836375229393666,35.86403860976252
4.63,36.070257348520855,0.03148705347965956,36.10174440200051
4.64,36.32423991040254,0.03217708020310092,36.35641699060564
4.65,36.563253376211875,0.032867106926542336,36.59612048313842
4.66,36.79993126035184,0.033557133649983695,36.833488394001826
4.67,37.03832929504603,0.03424716037342505,37.07257645541946
4.68,37.277119180446135,0.034937187096866405,37.312056367543
4.69,37.51732759651416,0.03562721382030782,37.55295481033446
4.7,37.75819956140248,0.03631724054374917,37.79451680194623
4.71,37.99999490139087,0.03700726726719053,38.03700216865806
4.72,38.242532290071146,0.03769729399063189,38.28022958406178
4.73,38.4882422943031,0.03848268072490136,38.526724975028
4.74,38.745605842513505,0.03931503582271294,38.784920878336216
4.75,38.99954930201978,0.04014739092052451,39.0396966929403
4.76,39.245911210697585,0.04097974601833609,39.28689095671592
4.7700000000000005,39.49409880814872,0.04181210111614774,39.53591090926487
4.78,39.748595592736194,0.04264445621395931,39.79124004895015
4.79,40.03058310694025,0.04347681131177089,40.07405991825202
4.8,40.303028612058554,0.04430916640958247,40.34733777846814
4.8100000000000005,40.55550515196564,0.04514152150739412,40.60064667347304
4.82,40.81113006091857,0.045973876605205695,40.857103937523775
4.83,41.06590830256816,0.04691984436138909,41.11282814692955
4.84,41.32300274926476,0.0479217705910989,41.370924519855855
4.8500000000000005,41.58065609733664,0.048923696820808805,41.62957979415745
4.86,41.8414874740032,0.04992562305051862,41.89141309705372
4.87,42.10730358121904,0.05092754928022843,42.158231130499274
4.88,42.383143372864694,0.05192947550993825,42.43507284837463
4.89,42.645733145771615,0.05293140173964806,42.698664547511264
4.9,42.908867252619864,0.053933327969357965,42.962800580589224
4.91,43.17294846535263,0.05493525419906778,43.2278837195517
4.92,43.43796941039142,0.05593718042877759,43.493906590820195
4.93,43.704354329624195,0.05707411393511357,43.76142844355931
4.94,43.971231456787585,0.05827754356277301,44.02950900035036
4.95,44.23930614792469,0.05948097319043234,44.29878712111512
4.96,44.50962420034133,0.06068440281809167,44.57030860315942
4.97,44.78139617868884,0.061887832445751,44.843284011134585
4.98,45.063010792889486,0.06309126207341044,45.1261020549629
4.99,45.335730961825874,0.06429469170106977,45.400025653526946
5.0,45.61204259065392,0.06549812132872909,45.67754071198265
5.01,45.89599556075491,0.06670155095638843,45.9626971117113
5.0200000000000005,46.18858381253899,0.06790498058404787,46.25648879312303
5.03,46.465860661311375,0.06926856320089148,46.53512922451227
5.04,46.744197676284145,0.07071102714076617,46.81490870342491
